norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
20083,RADUGA 1-1,EGO,00001.28194020,1 20083U 89048A   00001.28194020 -.00000029 +00000-0 +10000-3 0 08062\,2 20083 006.6142 054.4142 0020257 248.5391 111.1563 00.98708074035887,6.6142,0.0020257,0.98708074,54.4142,248.5391,111.1563
20083,RADUGA 1-1,EGO,00002.29499639,1 20083U 89048A   00002.29499639 -.00000053 +00000-0 +10000-3 0 08065\,2 20083 006.6158 054.4097 0020136 248.5495 111.1441 00.98708491035893,6.6158,0.0020136,0.98708491,54.4097,248.5495,111.1441
20083,RADUGA 1-1,EGO,00003.30806548,1 20083U 89048A   00003.30806548 -.00000079 +00000-0 +10000-3 0 08078\,2 20083 006.6176 054.4046 0020222 248.8366 110.8612 00.98708922035900,6.6176,0.0020222,0.98708922,54.4046,248.8366,110.8612
20083,RADUGA 1-1,EGO,00004.32113431,1 20083U 89048A   00004.32113431 -.00000106 +00000-0 +10000-3 0 08085\,2 20083 006.6197 054.4002 0020344 248.9291 110.7741 00.98709340035916,6.6197,0.0020344,0.9870934,54.4002,248.9291,110.7741
20083,RADUGA 1-1,EGO,00005.33421037,1 20083U 89048A   00005.33421037 -.00000135 +00000-0 +10000-3 0 08094\,2 20083 006.6213 054.3950 0020343 248.9525 110.7622 00.98709731035928,6.6213,0.0020343,0.98709731,54.395,248.9525,110.7622
20083,RADUGA 1-1,EGO,00008.37345044,1 20083U 89048A   00008.37345044 -.00000211 +00000-0 +10000-3 0 08077\,2 20083 006.6263 054.3792 0020342 249.0229 110.7382 00.98710569035956,6.6263,0.0020342,0.98710569,54.3792,249.0229,110.7382
20083,RADUGA 1-1,EGO,00012.42568892,1 20083U 89048A   00012.42568892 -.00000253  00000-0  10000-3 0  8083\,2 20083 006.6335 054.3583 0020392 249.3384 110.4603 00.98710474 35996,6.6335,0.0020392,0.98710474,54.3583,249.3384,110.4603
20083,RADUGA 1-1,EGO,00012.42569124,1 20083U 89048A   00012.42569124 -.00000253 +00000-0 +10000-3 0 08093\,2 20083 006.6334 054.3584 0020393 249.3465 110.4529 00.98710474035994,6.6334,0.0020393,0.98710474,54.3584,249.3465,110.4529
20083,RADUGA 1-1,EGO,00018.50392462,1 20083U 89048A   00018.50392462 -.00000152 +00000-0 +10000-3 0 08107\,2 20083 006.6435 054.3287 0020547 249.7779 110.0037 00.98707943036054,6.6435,0.0020547,0.98707943,54.3287,249.7779,110.0037
20083,RADUGA 1-1,EGO,00025.59564378,1 20083U 89048A   00025.59564378  .00000021  00000-0  10000-3 0  8105\,2 20083 006.6553 054.2946 0020565 250.0096 109.8385 00.98705705 36127,6.6553,0.0020565,0.98705705,54.2946,250.0096,109.8385
20083,RADUGA 1-1,EGO,00028.63487000,1 20083U 89048A   00028.63487000 +.00000033 +00000-0 +10000-3 0 08113\,2 20083 006.6604 054.2790 0020587 250.1080 109.7328 00.98706154036157,6.6604,0.0020587,0.98706154,54.279,250.108,109.7328
20083,RADUGA 1-1,EGO,00033.70029859,1 20083U 89048A   00033.70029859 -.00000057 +00000-0 +10000-3 0 08129\,2 20083 006.6688 054.2555 0020584 250.2027 109.6669 00.98708250036209,6.6688,0.0020584,0.9870825,54.2555,250.2027,109.6669
20083,RADUGA 1-1,EGO,00033.70039486,1 20083U 89048A   00033.70039486  .00000000  00000-0  10000-3 0  8112\,2 20083 006.6717 054.2775 0021122 250.7418 109.1246 00.98704556 36205,6.6717,0.0021122,0.98704556,54.2775,250.7418,109.1246
20083,RADUGA 1-1,EGO,00034.71340183,1 20083U 89048A   00034.71340183 -.00000084 +00000-0 +10000-3 0 08138\,2 20083 006.6710 054.2548 0020722 250.6374 109.2422 00.98708697036219,6.671,0.0020722,0.98708697,54.2548,250.6374,109.2422
20083,RADUGA 1-1,EGO,00035.72650867,1 20083U 89048A   00035.72650867 -.00000111 +00000-0 +10000-3 0 08145\,2 20083 006.6727 054.2510 0020820 250.7131 109.1849 00.98709117036228,6.6727,0.002082,0.98709117,54.251,250.7131,109.1849
20083,RADUGA 1-1,EGO,00037.75266625,1 20083U 89048A   00037.75266625 -.00000161  00000-0  10000-3 0  8139\,2 20083 006.6761 054.2450 0020776 250.9942 108.9219 00.98709770 36246,6.6761,0.0020776,0.9870977,54.245,250.9942,108.9219
20083,RADUGA 1-1,EGO,00038.76574865,1 20083U 89048A   00038.76574865 -.00000182 +00000-0 +10000-3 0 08154\,2 20083 006.6778 054.2423 0020782 251.1480 108.7801 00.98709994036255,6.6778,0.0020782,0.98709994,54.2423,251.148,108.7801
20083,RADUGA 1-1,EGO,00039.77879019,1 20083U 89048A   00039.77879019 -.00000200 +00000-0 +10000-3 0 08167\,2 20083 006.6796 054.2384 0020783 251.1748 108.7532 00.98710137036262,6.6796,0.0020783,0.98710137,54.2384,251.1748,108.7532
20083,RADUGA 1-1,EGO,00040.79181913,1 20083U 89048A   00040.79181913 -.00000214 +00000-0 +10000-3 0 08176\,2 20083 006.6814 054.2341 0020782 251.1931 108.7311 00.98710195036279,6.6814,0.0020782,0.98710195,54.2341,251.1931,108.7311
20083,RADUGA 1-1,EGO,00041.80483703,1 20083U 89048A   00041.80483703 -.00000224  00000-0  10000-3 0  8149\,2 20083 006.6832 054.2310 0020749 251.3490 108.5650 00.98710161 36288,6.6832,0.0020749,0.98710161,54.231,251.349,108.565
20083,RADUGA 1-1,EGO,00043.83087775,1 20083U 89048A   00043.83087775 -.00000231 +00000-0 +10000-3 0 08152\,2 20083 006.6869 054.2212 0020691 251.1937 108.7060 00.98709871036305,6.6869,0.0020691,0.98709871,54.2212,251.1937,108.706
20083,RADUGA 1-1,EGO,00044.84391558,1 20083U 89048A   00044.84391558 -.00000228 +00000-0 +10000-3 0 08168\,2 20083 006.6886 054.2159 0020690 251.2173 108.6813 00.98709630036315,6.6886,0.002069,0.9870963,54.2159,251.2173,108.6813
20083,RADUGA 1-1,EGO,00045.85696432,1 20083U 89048A   00045.85696432 -.00000222  00000-0  10000-3 0  8152\,2 20083 006.6909 054.2134 0020660 251.2947 108.6016 00.98709332 36325,6.6909,0.002066,0.98709332,54.2134,251.2947,108.6016
20083,RADUGA 1-1,EGO,00046.87004259,1 20083U 89048A   00046.87004259 -.00000211 +00000-0 +10000-3 0 08164\,2 20083 006.6925 054.2087 0020524 251.6301 108.2734 00.98708980036339,6.6925,0.0020524,0.9870898,54.2087,251.6301,108.2734
20083,RADUGA 1-1,EGO,00051.93545183,1 20083U 89048A   00051.93545183 -.00000109  00000-0  10000-3 0  8169\,2 20083 006.7016 054.1860 0020338 251.5775 108.3593 00.98707145 36387,6.7016,0.0020338,0.98707145,54.186,251.5775,108.3593
20083,RADUGA 1-1,EGO,00054.97465561,1 20083U 89048A   00054.97465561 -.00000035 +00000-0 +10000-3 0 08187\,2 20083 006.7067 054.1722 0020260 252.4618 107.4620 00.98706363036416,6.7067,0.002026,0.98706363,54.1722,252.4618,107.462
20083,RADUGA 1-1,EGO,00057.00078410,1 20083U 89048A   00057.00078410 +.00000003 +00000-0 +10000-3 0 08204\,2 20083 006.7104 054.1625 0020252 252.5026 107.4108 00.98706142036433,6.7104,0.0020252,0.98706142,54.1625,252.5026,107.4108
20083,RADUGA 1-1,EGO,00058.01385649,1 20083U 89048A   00058.01385649 +.00000016 +00000-0 +10000-3 0 08216\,2 20083 006.7120 054.1579 0020238 252.6900 107.2194 00.98706130036446,6.712,0.0020238,0.9870613,54.1579,252.69,107.2194
20083,RADUGA 1-1,EGO,00063.07933007,1 20083U 89048A   00063.07933007  .00000008  00000-0  10000-3 0  8182\,2 20083 006.7209 054.1359 0020279 254.1474 105.7935 00.98707137 36497,6.7209,0.0020279,0.98707137,54.1359,254.1474,105.7935
