norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
25049,SIRIUS 2 (GE-1E),GEO,00008.55977814,1 25049U 97071A   00008.55977814 +.00000040 +00000-0 +00000-0 0 02355\,2 25049 000.0166 085.1692 0001551 271.6731 316.8693 01.00273708007916,0.0166,0.0001551,1.00273708,85.1692,271.6731,316.8693
25049,SIRIUS 2 (GE-1E),GEO,00012.13873350,1 25049U 97071A   00012.13873350 +.00000039 +00000-0 +00000-0 0 02363\,2 25049 000.0143 116.7466 0000654 170.5077 238.3763 01.00270868007958,0.0143,6.54e-05,1.00270868,116.7466,170.5077,238.3763
25049,SIRIUS 2 (GE-1E),GEO,00014.09115235,1 25049U 97071A   00014.09115235  .00000039  00000-0  00000+0 0  2371\,2 25049 000.0194 117.7811 0000603 161.8245 230.8239 01.00271946  7978,0.0194,6.03e-05,1.00271946,117.7811,161.8245,230.8239
25049,SIRIUS 2 (GE-1E),GEO,00014.84750001,1 25049U 97071A   00014.84750001 +.00000038 +00000-0 +00000-0 0 02381\,2 25049 000.0202 113.3233 0000666 159.7539 150.3937 01.00272705007985,0.0202,6.66e-05,1.00272705,113.3233,159.7539,150.3937
25049,SIRIUS 2 (GE-1E),GEO,00015.09295797,1 25049U 97071A   00015.09295797 +.00000038 +00000-0 +00000-0 0 02396\,2 25049 000.0192 113.9683 0000656 157.5082 240.6024 01.00272786007985,0.0192,6.56e-05,1.00272786,113.9683,157.5082,240.6024
25049,SIRIUS 2 (GE-1E),GEO,00015.78039626,1 25049U 97071A   00015.78039626 +.00000037 +00000-0 +00000-0 0 02400\,2 25049 000.0193 111.8112 0000768 151.7132 136.7138 01.00273009007997,0.0193,7.68e-05,1.00273009,111.8112,151.7132,136.7138
25049,SIRIUS 2 (GE-1E),GEO,00017.09794639,1 25049U 97071A   00017.09794639  .00000034  00000-0  00000+0 0  2392\,2 25049 000.0214 111.4124 0000775 151.7650 252.6830 01.00273309  8006,0.0214,7.75e-05,1.00273309,111.4124,151.765,252.683
25049,SIRIUS 2 (GE-1E),GEO,00017.94159723,1 25049U 97071A   00017.94159723 +.00000031 +00000-0 +00000-0 0 02405\,2 25049 000.0232 112.0333 0000779 151.0425 197.3342 01.00273482008018,0.0232,7.79e-05,1.00273482,112.0333,151.0425,197.3342
25049,SIRIUS 2 (GE-1E),GEO,00018.44414784,1 25049U 97071A   00018.44414784 +.00000029 +00000-0 +00000-0 0 02409\,2 25049 000.0302 138.1811 0001051 142.7949 000.8380 01.00273046008014,0.0302,0.0001051,1.00273046,138.1811,142.7949,0.838
25049,SIRIUS 2 (GE-1E),GEO,00019.15683509,1 25049U 97071A   00019.15683509 +.00000027 +00000-0 +00000-0 0 02421\,2 25049 000.0311 143.7258 0001096 137.7409 257.6218 01.00273285008023,0.0311,0.0001096,1.00273285,143.7258,137.7409,257.6218
25049,SIRIUS 2 (GE-1E),GEO,00021.11376824,1 25049U 97071A   00021.11376824 +.00000020 +00000-0 +00000-0 0 02411\,2 25049 000.0351 148.3808 0001093 134.4605 242.6838 01.00273782008044,0.0351,0.0001093,1.00273782,148.3808,134.4605,242.6838
25049,SIRIUS 2 (GE-1E),GEO,00022.16087465,1 25049U 97071A   00022.16087465 +.00000017 +00000-0 +00000-0 0 02424\,2 25049 000.0319 156.2237 0001134 121.1867 266.1100 01.00273948008059,0.0319,0.0001134,1.00273948,156.2237,121.1867,266.11
25049,SIRIUS 2 (GE-1E),GEO,00023.17426591,1 25049U 97071A   00023.17426591 +.00000016 +00000-0 +00000-0 0 02433\,2 25049 000.0328 161.8672 0001158 115.6669 271.8113 01.00274121008060,0.0328,0.0001158,1.00274121,161.8672,115.6669,271.8113
25049,SIRIUS 2 (GE-1E),GEO,00029.59461984,1 25049U 97071A   00029.59461984 +.00000027 +00000-0 +00000-0 0 02443\,2 25049 000.0210 174.2898 0001164 147.4504 025.2121 01.00271707008120,0.021,0.0001164,1.00271707,174.2898,147.4504,25.2121
25049,SIRIUS 2 (GE-1E),GEO,00032.44699486,1 25049U 97071A   00032.44699486 +.00000030 +00000-0 +00000-0 0 02456\,2 25049 000.0210 144.1880 0001227 204.2568 308.1900 01.00272881008154,0.021,0.0001227,1.00272881,144.188,204.2568,308.19
25049,SIRIUS 2 (GE-1E),GEO,00036.13682370,1 25049U 97071A   00036.13682370 +.00000030 +00000-0 +00000-0 0 02461\,2 25049 000.0255 161.9715 0001013 185.0775 201.5672 01.00273467008193,0.0255,0.0001013,1.00273467,161.9715,185.0775,201.5672
25049,SIRIUS 2 (GE-1E),GEO,00038.13074725,1 25049U 97071A   00038.13074725  .00000030  00000-0  00000+0 0  2472\,2 25049 000.0266 175.4502 0001125 165.7722 207.1980 01.00274224  8219,0.0266,0.0001125,1.00274224,175.4502,165.7722,207.198
25049,SIRIUS 2 (GE-1E),GEO,00042.88771549,1 25049U 97071A   00042.88771549 +.00000028 +00000-0 +00000-0 0 02486\,2 25049 000.0235 187.9777 0000817 172.8177 104.8128 01.00274391008264,0.0235,8.17e-05,1.00274391,187.9777,172.8177,104.8128
25049,SIRIUS 2 (GE-1E),GEO,00050.75399814,1 25049U 97071A   00050.75399814 +.00000007 +00000-0 +00000-0 0 02490\,2 25049 000.0227 233.8000 0001160 106.1929 085.2097 01.00273493008340,0.0227,0.000116,1.00273493,233.8,106.1929,85.2097
25049,SIRIUS 2 (GE-1E),GEO,00053.26869767,1 25049U 97071A   00053.26869767 +.00000009 +00000-0 +00000-0 0 02502\,2 25049 000.0135 202.1047 0001189 152.3730 258.4887 01.00272990008366,0.0135,0.0001189,1.0027299,202.1047,152.373,258.4887
25049,SIRIUS 2 (GE-1E),GEO,00060.97848271,1 25049U 97071A   00060.97848271 +.00000023 +00000-0 +00000-0 0 02512\,2 25049 000.0136 216.4183 0001104 132.9719 166.7459 01.00274632008444,0.0136,0.0001104,1.00274632,216.4183,132.9719,166.7459
25049,SIRIUS 2 (GE-1E),GEO,00062.01518605,1 25049U 97071A   00062.01518605  .00000000  00000-0  10000-3 0  2524\,2 25049 000.0145 233.3843 0000702 168.3629 128.6231 01.00271992  8453,0.0145,7.02e-05,1.00271992,233.3843,168.3629,128.6231
25049,SIRIUS 2 (GE-1E),GEO,00067.42484020,1 25049U 97071A   00067.42484020 +.00000024 +00000-0 +00000-0 0 02530\,2 25049 000.0234 220.8716 0000756 205.3405 256.9533 01.00273407008504,0.0234,7.56e-05,1.00273407,220.8716,205.3405,256.9533
25049,SIRIUS 2 (GE-1E),GEO,00074.30443910,1 25049U 97071A   00074.30443910 +.00000011 +00000-0 +00000-0 0 02545\,2 25049 000.0171 208.4226 0000640 189.0843 249.0775 01.00272749008574,0.0171,6.4e-05,1.00272749,208.4226,189.0843,249.0775
25049,SIRIUS 2 (GE-1E),GEO,00075.26037464,1 25049U 97071A   00075.26037464 +.00000008 +00000-0 +00000-0 0 02551\,2 25049 000.0195 199.3428 0001581 194.2131 238.1067 01.00272623008580,0.0195,0.0001581,1.00272623,199.3428,194.2131,238.1067
25049,SIRIUS 2 (GE-1E),GEO,00077.01932293,1 25049U 97071A   00077.01932293  .00000003  00000-0  00000+0 0  2565\,2 25049 000.0196 220.0092 0001155 184.6903 141.9199 01.00273148  8600,0.0196,0.0001155,1.00273148,220.0092,184.6903,141.9199
25049,SIRIUS 2 (GE-1E),GEO,00077.12127956,1 25049U 97071A   00077.12127956 +.00000003 +00000-0 +00000-0 0 02571\,2 25049 000.0166 215.5800 0000802 183.2624 184.5906 01.00273367008608,0.0166,8.02e-05,1.00273367,215.58,183.2624,184.5906
25049,SIRIUS 2 (GE-1E),GEO,00084.87522748,1 25049U 97071A   00084.87522748 +.00000017 +00000-0 +00000-0 0 02585\,2 25049 000.0245 217.9501 0000991 200.6628 083.8761 01.00274058008683,0.0245,9.91e-05,1.00274058,217.9501,200.6628,83.8761
25049,SIRIUS 2 (GE-1E),GEO,00088.17463760,1 25049U 97071A   00088.17463760 +.00000021 +00000-0 +00000-0 0 02596\,2 25049 000.0124 202.2156 0000939 185.1189 226.2163 01.00274402008719,0.0124,9.39e-05,1.00274402,202.2156,185.1189,226.2163
25049,SIRIUS 2 (GE-1E),GEO,00089.00633198,1 25049U 97071A   00089.00633198  .00000022  00000-0  00000+0 0  2605\,2 25049 000.0195 215.9747 0001095 181.3405 156.4695 01.00274484  8722,0.0195,0.0001095,1.00274484,215.9747,181.3405,156.4695
25049,SIRIUS 2 (GE-1E),GEO,00089.18313293,1 25049U 97071A   00089.18313293 +.00000022 +00000-0 +00000-0 0 02617\,2 25049 000.0170 221.1594 0000989 175.8505 220.6017 01.00274662008724,0.017,9.89e-05,1.00274662,221.1594,175.8505,220.6017
25049,SIRIUS 2 (GE-1E),GEO,00091.17753109,1 25049U 97071A   00091.17753109  .00000023  00000-0  00000+0 0  2613\,2 25049 000.0114 219.3346 0000916 176.6624 221.5910 01.00275408  8740,0.0114,9.16e-05,1.00275408,219.3346,176.6624,221.591
25049,SIRIUS 2 (GE-1E),GEO,00096.20300561,1 25049U 97071A   00096.20300561 +.00000025 +00000-0 +00000-0 0 02626\,2 25049 000.0128 223.8097 0000823 178.7004 229.1500 01.00269432008794,0.0128,8.23e-05,1.00269432,223.8097,178.7004,229.15
25049,SIRIUS 2 (GE-1E),GEO,00103.84474538,1 25049U 97071A   00103.84474538 +.00000008 +00000-0 +00000-0 0 02644\,2 25049 000.0103 212.2312 0001008 232.2990 065.6951 01.00272450008871,0.0103,0.0001008,1.0027245,212.2312,232.299,65.6951
25049,SIRIUS 2 (GE-1E),GEO,00107.93612861,1 25049U 97071A   00107.93612861  .00000000  00000-0  10000-3 0  2670\,2 25049 000.0512 170.8610 0000858 192.5596 183.7619 01.00270693  8945,0.0512,8.58e-05,1.00270693,170.861,192.5596,183.7619
25049,SIRIUS 2 (GE-1E),GEO,00107.95723993,1 25049U 97071A   00107.95723993  .00000000  00000-0  10000-3 0  2660\,2 25049 000.0434 179.2724 0000639 259.1936 116.3464 01.00271653  8949,0.0434,6.39e-05,1.00271653,179.2724,259.1936,116.3464
25049,SIRIUS 2 (GE-1E),GEO,00109.16114221,1 25049U 97071A   00109.16114221 +.00000013 +00000-0 +00000-0 0 02652\,2 25049 000.0154 221.8043 0001176 199.9721 207.5643 01.00272363008925,0.0154,0.0001176,1.00272363,221.8043,199.9721,207.5643
25049,SIRIUS 2 (GE-1E),GEO,00110.96650885,1 25049U 97071A   00110.96650885  .00000000  00000-0  10000-3 0  2686\,2 25049 000.0526 184.7156 0000884 178.8900 197.5121 01.00271064  8971,0.0526,8.84e-05,1.00271064,184.7156,178.89,197.5121
25049,SIRIUS 2 (GE-1E),GEO,00115.17633902,1 25049U 97071A   00115.17633902 +.00000026 +00000-0 +00000-0 0 02667\,2 25049 000.0068 194.3854 0001004 212.8094 233.5735 01.00273846008985,0.0068,0.0001004,1.00273846,194.3854,212.8094,233.5735
25049,SIRIUS 2 (GE-1E),GEO,00121.70905338,1 25049U 97071A   00121.70905338 +.00000032 +00000-0 +00000-0 0 02700\,2 25049 000.0048 187.8692 0000797 238.2105 052.9790 01.00275567009058,0.0048,7.97e-05,1.00275567,187.8692,238.2105,52.979
25049,SIRIUS 2 (GE-1E),GEO,00125.07729611,1 25049U 97071A   00125.07729611  .00000000  00000-0  10000-3 0  2712\,2 25049 000.0036 198.6098 0002045 269.1396 147.2008 01.00273459  9090,0.0036,0.0002045,1.00273459,198.6098,269.1396,147.2008
25049,SIRIUS 2 (GE-1E),GEO,00125.50126986,1 25049U 97071A   00125.50126986 +.00000031 +00000-0 +00000-0 0 02727\,2 25049 000.0203 182.2041 0000854 257.3396 328.3999 01.00270602009096,0.0203,8.54e-05,1.00270602,182.2041,257.3396,328.3999
25049,SIRIUS 2 (GE-1E),GEO,00130.89180557,1 25049U 97071A   00130.89180557  .00000016  00000-0  00000+0 0  2732\,2 25049 000.0247 179.2156 0000970 264.6778 109.9514 01.00272231  9143,0.0247,9.7e-05,1.00272231,179.2156,264.6778,109.9514
25049,SIRIUS 2 (GE-1E),GEO,00135.73503412,1 25049U 97071A   00135.73503412 +.00000017 +00000-0 +00000-0 0 02753\,2 25049 000.0139 177.3727 0001108 206.5743 118.2034 01.00270700009191,0.0139,0.0001108,1.002707,177.3727,206.5743,118.2034
