norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
65486,SHIYAN 29,IGO,25248.71179175,1 65486U 25196    25248.71179175 -.00000375  00000-0  00000+0 0    76,2 65486  28.5020  21.8271 6979601 128.0434 217.1303  2.68724552    30,28.502,0.6979601,2.68724552,21.8271,128.0434,217.1303
65486,SHIYAN 29,IGO,25248.88014362,1 65486U 25196A   25248.88014362 -.00000002  00000-0  00000-0 0    78,2 65486  28.5104  22.1048 0090663 130.5170  10.0821  0.98867231    16,28.5104,0.0090663,0.98867231,22.1048,130.517,10.0821
65486,SHIYAN 29,IGO,25248.90371892,1 65486U 25196A   25248.90371892 -.00000002  00000-0  00000-0 0    75,2 65486  28.5101  22.1059 0090672 130.5114  18.4779  0.98866980    39,28.5101,0.0090672,0.9886698,22.1059,130.5114,18.4779
65486,SHIYAN 29,IGO,25248.96195228,1 65486U 25196A   25248.96195228 -.00000004  00000-0  00000+0 0    35,2 65486  28.5063  22.1061 0091747 130.4649  39.2518  0.98854323    35,28.5063,0.0091747,0.98854323,22.1061,130.4649,39.2518
65486,SHIYAN 29,IGO,25249.71688874,1 65486U 25196A   25249.71688874 -.00000015  00000-0  00000+0 0    80,2 65486  28.5097  22.0954 0090722 130.6154 307.8079  0.98866084    41,28.5097,0.0090722,0.98866084,22.0954,130.6154,307.8079
65486,SHIYAN 29,IGO,25249.88183418,1 65486U 25196A   25249.88183418 -.00000018  00000-0  00000-0 0   143,2 65486  28.5099  22.0937 0090717 130.6319   6.5001  0.98866149    41,28.5099,0.0090717,0.98866149,22.0937,130.6319,6.5001
65486,SHIYAN 29,IGO,25250.31160229,1 65486U 25196A   25250.31160229 -.00000026  00000-0  00000-0 0   169,2 65486  28.5103  22.0885 0090713 130.6823 159.4167  0.98866211    46,28.5103,0.0090713,0.98866211,22.0885,130.6823,159.4167
65486,SHIYAN 29,IGO,25250.56198014,1 65486U 25196A   25250.56198014 -.00000031  00000-0  00000+0 0   120,2 65486  28.5107  22.0853 0090703 130.7013 248.5144  0.98866172    58,28.5107,0.0090703,0.98866172,22.0853,130.7013,248.5144
65486,SHIYAN 29,IGO,25250.80665352,1 65486U 25196A   25250.80665352 -.00000036  00000-0  00000-0 0   183,2 65486  28.5110  22.0822 0090690 130.7229 335.5795  0.98866265    54,28.511,0.009069,0.98866265,22.0822,130.7229,335.5795
65486,SHIYAN 29,IGO,25251.27826471,1 65486U 25196A   25251.27826471 -.00000046  00000-0  00000-0 0   198,2 65486  28.5116  22.0765 0090675 130.7733 143.3895  0.98866369    50,28.5116,0.0090675,0.98866369,22.0765,130.7733,143.3895
65486,SHIYAN 29,IGO,25251.60118816,1 65486U 25196A   25251.60118816 -.00000054  00000-0  00000-0 0   236,2 65486  28.5120  22.0726 0090658 130.8037 258.2977  0.98866458    68,28.512,0.0090658,0.98866458,22.0726,130.8037,258.2977
65486,SHIYAN 29,IGO,25251.79799281,1 65486U 25196A   25251.79799281 -.00000058  00000-0  00000-0 0   253,2 65486  28.5123  22.0702 0090643 130.8188 328.3316  0.98866533    66,28.5123,0.0090643,0.98866533,22.0702,130.8188,328.3316
65486,SHIYAN 29,IGO,25252.29638994,1 65486U 25196A   25252.29638994 -.00000071  00000-0  00000-0 0   279,2 65486  28.5129  22.0642 0090617 130.8664 145.6787  0.98866667    65,28.5129,0.0090617,0.98866667,22.0642,130.8664,145.6787
65486,SHIYAN 29,IGO,25252.77635402,1 65486U 25196A   25252.77635402 -.00000083  00000-0  00000-0 0   311,2 65486  28.5135  22.0583 0090579 130.9069 316.4731  0.98866813    74,28.5135,0.0090579,0.98866813,22.0583,130.9069,316.4731
65486,SHIYAN 29,IGO,25253.33080718,1 65486U 25196A   25253.33080718 -.00000098  00000-0  00000-0 0   336,2 65486  28.5143  22.0515 0090539 130.9534 153.7740  0.98866979    76,28.5143,0.0090539,0.98866979,22.0515,130.9534,153.774
65486,SHIYAN 29,IGO,25253.55616429,1 65486U 25196A   25253.55616429 -.00000104  00000-0  00000-0 0   343,2 65486  28.5146  22.0488 0090520 130.9739 233.9656  0.98867045    88,28.5146,0.009052,0.98867045,22.0488,130.9739,233.9656
65486,SHIYAN 29,IGO,25254.53879328,1 65486U 25196A   25254.53879328 -.00000132  00000-0  00000+0 0   262,2 65486  28.5159  22.0369 0090430 131.0431 223.6470  0.98867371    83,28.5159,0.009043,0.98867371,22.0369,131.0431,223.647
65486,SHIYAN 29,IGO,25254.57058653,1 65486U 25196A   25254.57058653 -.00000133  00000-0  00000-0 0   381,2 65486  28.5159  22.0365 0090426 131.0453 234.9611  0.98867383    94,28.5159,0.0090426,0.98867383,22.0365,131.0453,234.9611
65486,SHIYAN 29,IGO,25255.55269211,1 65486U 25196A   25255.55269211 -.00000160  00000-0  00000-0 0   407,2 65486  28.5172  22.0246 0090327 131.1005 224.4712  0.98867720    92,28.5172,0.0090327,0.9886772,22.0246,131.1005,224.4712
65486,SHIYAN 29,IGO,25255.78440544,1 65486U 25196A   25255.78440544 -.00000167  00000-0  00000-0 0   421,2 65486  28.5175  22.0217 0090300 131.1099 306.9371  0.98867802   107,28.5175,0.00903,0.98867802,22.0217,131.1099,306.9371
65486,SHIYAN 29,IGO,25256.60307172,1 65486U 25196A   25256.60307172 -.00000188  00000-0  00000-0 0   436,2 65486  28.5186  22.0118 0090219 131.1423 238.2973  0.98868079   112,28.5186,0.0090219,0.98868079,22.0118,131.1423,238.2973
65486,SHIYAN 29,IGO,25257.17186280,1 65486U 25196A   25257.17186280 -.00000203  00000-0  00000-0 0   454,2 65486  28.5192  22.0050 0090159 131.1534  80.7403  0.98868307   112,28.5192,0.0090159,0.98868307,22.005,131.1534,80.7403
65486,SHIYAN 29,IGO,25257.34469494,1 65486U 25196A   25257.34469494 -.00000207  00000-0  00000-0 0   470,2 65486  28.5194  22.0029 0090142 131.1580 142.2530  0.98868361   118,28.5194,0.0090142,0.98868361,22.0029,131.158,142.253
65486,SHIYAN 29,IGO,25257.57617230,1 65486U 25196A   25257.57617230 -.00000212  00000-0  00000-0 0   485,2 65486  28.5197  22.0001 0090122 131.1675 224.6351  0.98868409   113,28.5197,0.0090122,0.98868409,22.0001,131.1675,224.6351
65486,SHIYAN 29,IGO,25258.61294759,1 65486U 25196A   25258.61294759 -.00000235  00000-0  00000-0 0   517,2 65486  28.5210  21.9875 0090026 131.1853 233.6452  0.98868711   137,28.521,0.0090026,0.98868711,21.9875,131.1853,233.6452
65486,SHIYAN 29,IGO,25259.58447578,1 65486U 25196A   25259.58447578 -.00000252  00000-0  00000-0 0    17,2 65486  28.5221  21.9757 0089948 131.1917 219.4438  0.98868954   135,28.5221,0.0089948,0.98868954,21.9757,131.1917,219.4438
65486,SHIYAN 29,IGO,25260.23395459,1 65486U 25196A   25260.23395459 -.00000261  00000-0  00000-0 0    11,2 65486  28.5229  21.9677 0089905 131.1953  90.6158  0.98869085   142,28.5229,0.0089905,0.98869085,21.9677,131.1953,90.6158
65486,SHIYAN 29,IGO,25260.88302373,1 65486U 25196A   25260.88302373 -.00000268  00000-0  00000-0 0    12,2 65486  28.5235  21.9599 0089865 131.1937 321.6475  0.98869172   156,28.5235,0.0089865,0.98869172,21.9599,131.1937,321.6475
65486,SHIYAN 29,IGO,25261.22407144,1 65486U 25196A   25261.22407144 -.00000271  00000-0  00000-0 0    17,2 65486  28.5240  21.9558 0089850 131.1944  83.0395  0.98869218   150,28.524,0.008985,0.98869218,21.9558,131.1944,83.0395
65486,SHIYAN 29,IGO,25261.78434903,1 65486U 25196A   25261.78434903 -.00000274  00000-0  00000-0 0    14,2 65486  28.5246  21.9490 0089825 131.1865 282.4728  0.98869253   160,28.5246,0.0089825,0.98869253,21.949,131.1865,282.4728
65486,SHIYAN 29,IGO,25262.25225497,1 65486U 25196A   25262.25225497 -.00000276  00000-0  00000-0 0    15,2 65486  28.5251  21.9433 0089809 131.1900  89.0162  0.98869267   163,28.5251,0.0089809,0.98869267,21.9433,131.19,89.0162
65486,SHIYAN 29,IGO,25262.59422479,1 65486U 25196A   25262.59422479 -.00000277  00000-0  00000-0 0    12,2 65486  28.5255  21.9390 0089802 131.1822 210.7449  0.98869279   169,28.5255,0.0089802,0.98869279,21.939,131.1822,210.7449
65486,SHIYAN 29,IGO,25262.92200972,1 65486U 25196A   25262.92200972 -.00000277  00000-0  00000-0 0    11,2 65486  28.5259  21.9351 0089793 131.1820 327.4171  0.98869249   173,28.5259,0.0089793,0.98869249,21.9351,131.182,327.4171
65486,SHIYAN 29,IGO,25263.80385659,1 65486U 25196A   25263.80385659 -.00000274  00000-0  00000-0 0    12,2 65486  28.5268  21.9243 0089787 131.1758 281.3081  0.98869170   188,28.5268,0.0089787,0.9886917,21.9243,131.1758,281.3081
65486,SHIYAN 29,IGO,25265.05477617,1 65486U 25196A   25265.05477617 -.00000263  00000-0  00000-0 0    15,2 65486  28.5282  21.9090 0089791 131.1787   6.5574  0.98868930   199,28.5282,0.0089791,0.9886893,21.909,131.1787,6.5574
65486,SHIYAN 29,IGO,25265.56737606,1 65486U 25196A   25265.56737606 -.00000257  00000-0  00000-0 0    11,2 65486  28.5287  21.9028 0089801 131.1835 189.0069  0.98868814   198,28.5287,0.0089801,0.98868814,21.9028,131.1835,189.0069
65486,SHIYAN 29,IGO,25265.69142038,1 65486U 25196A   25265.69142038 -.00000255  00000-0  00000-0 0    12,2 65486  28.5289  21.9012 0089807 131.1816 233.1609  0.98868781   204,28.5289,0.0089807,0.98868781,21.9012,131.1816,233.1609
65486,SHIYAN 29,IGO,25266.17891924,1 65486U 25196A   25266.17891924 -.00000247  00000-0  00000-0 0    12,2 65486  28.5294  21.8953 0089815 131.1871  46.6751  0.98868614   203,28.5294,0.0089815,0.98868614,21.8953,131.1871,46.6751
65486,SHIYAN 29,IGO,25266.72011809,1 65486U 25196A   25266.72011809 -.00000238  00000-0  00000-0 0   929,2 65486  28.5300  21.8887 0089837 131.1932 239.3021  0.98868449   217,28.53,0.0089837,0.98868449,21.8887,131.1932,239.3021
65486,SHIYAN 29,IGO,25269.04122336,1 65486U 25196A   25269.04122336 -.00000184  00000-0  00000-0 0    15,2 65486  28.5324  21.8606 0089944 131.2482 345.4115  0.98867463   232,28.5324,0.0089944,0.98867463,21.8606,131.2482,345.4115
65486,SHIYAN 29,IGO,25269.88161068,1 65486U 25196A   25269.88161068 -.00000161  00000-0  00000-0 0    17,2 65486  28.5333  21.8504 0089983 131.2812 284.5003  0.98867077   240,28.5333,0.0089983,0.98867077,21.8504,131.2812,284.5003
65486,SHIYAN 29,IGO,25270.90305735,1 65486U 25196A   25270.90305735 -.00000132  00000-0  00000+0 0   650,2 65486  28.5344  21.8380 0090037 131.3298 288.0167  0.98866574   257,28.5344,0.0090037,0.98866574,21.838,131.3298,288.0167
65486,SHIYAN 29,IGO,25270.90305736,1 65486U 25196A   25270.90305736 -.00000132  00000-0  00000-0 0    12,2 65486  28.5344  21.8380 0090037 131.3298 288.0167  0.98866574   257,28.5344,0.0090037,0.98866574,21.838,131.3298,288.0167
65486,SHIYAN 29,IGO,25271.95971657,1 65486U 25196A   25271.95971657 -.00000125  00000-0  00000-0 0  1113,2 65486  28.5364  21.8242 0078957 126.9736 309.0104  0.99059547   261,28.5364,0.0078957,0.99059547,21.8242,126.9736,309.0104
65486,SHIYAN 29,IGO,25272.71764993,1 65486U 25196A   25272.71764993 -.00000104  00000-0  00000+0 0   677,2 65486  28.5372  21.8149 0078987 127.0253 219.2566  0.99059130   267,28.5372,0.0078987,0.9905913,21.8149,127.0253,219.2566
65486,SHIYAN 29,IGO,25274.31884758,1 65486U 25196A   25274.31884758 -.00000252  00000-0  00000-0 0  1190,2 65486  28.5396  21.7935 0023727 181.8155  20.0775  1.00082617   287,28.5396,0.0023727,1.00082617,21.7935,181.8155,20.0775
65486,SHIYAN 29,IGO,25274.45707431,1 65486U 25196A   25274.45707431 -.00000252  00000-0  00000+0 0   689,2 65486  28.5369  21.7882 0023814 181.7349  69.9660  1.00081232   286,28.5369,0.0023814,1.00081232,21.7882,181.7349,69.966
65486,SHIYAN 29,IGO,25274.82896116,1 65486U 25196A   25274.82896116 -.00000249  00000-0  00000+0 0   696,2 65486  28.5395  21.7894 0023841 181.9590 203.7314  1.00078247   295,28.5395,0.0023841,1.00078247,21.7894,181.959,203.7314
65486,SHIYAN 29,IGO,25274.88324999,1 65486U 25196A   25274.88324999 -.00000249  00000-0  00000-0 0  1329,2 65486  28.5395  21.7888 0023848 181.9716 223.2787  1.00078214   290,28.5395,0.0023848,1.00078214,21.7888,181.9716,223.2787
65486,SHIYAN 29,IGO,25275.18515652,1 65486U 25196A   25275.18515652 -.00000247  00000-0  00000+0 0   710,2 65486  28.5398  21.7849 0023879 182.0378 331.9872  1.00078081   294,28.5398,0.0023879,1.00078081,21.7849,182.0378,331.9872
65486,SHIYAN 29,IGO,25275.57397587,1 65486U 25196A   25275.57397587 -.00000245  00000-0  00000+0 0   772,2 65486  28.5402  21.7801 0023906 182.0670 112.0466  1.00077874   290,28.5402,0.0023906,1.00077874,21.7801,182.067,112.0466
65486,SHIYAN 29,IGO,25275.87787369,1 65486U 25196A   25275.87787369 -.00000244  00000-0  00000-0 0  1407,2 65486  28.5405  21.7762 0023929 182.1204 221.4855  1.00077728   305,28.5405,0.0023929,1.00077728,21.7762,182.1204,221.4855
65486,SHIYAN 29,IGO,25276.22802815,1 65486U 25196A   25276.22802815 -.00000242  00000-0  00000+0 0   799,2 65486  28.5409  21.7719 0023959 182.2212 347.5418  1.00077538   308,28.5409,0.0023959,1.00077538,21.7719,182.2212,347.5418
65486,SHIYAN 29,IGO,25276.59580535,1 65486U 25196A   25276.59580535 -.00000241  00000-0  00000-0 0  1466,2 65486  28.5413  21.7672 0023987 182.2684 120.0016  1.00077356   301,28.5413,0.0023987,1.00077356,21.7672,182.2684,120.0016
65486,SHIYAN 29,IGO,25276.67127056,1 65486U 25196A   25276.67127056 -.00000240  00000-0  00000-0 0  1470,2 65486  28.5414  21.7663 0023993 182.2811 147.1783  1.00077318   300,28.5414,0.0023993,1.00077318,21.7663,182.2811,147.1783
65486,SHIYAN 29,IGO,25277.67244479,1 65486U 25196A   25277.67244479 -.00000236  00000-0  00000+0 0   811,2 65486  28.5426  21.7538 0024061 182.5252 147.6464  1.00076812   313,28.5426,0.0024061,1.00076812,21.7538,182.5252,147.6464
65486,SHIYAN 29,IGO,25277.74481279,1 65486U 25196A   25277.74481279 -.00000236  00000-0  00000+0 0   821,2 65486  28.5427  21.7530 0024066 182.5419 173.7032  1.00076778   318,28.5427,0.0024066,1.00076778,21.753,182.5419,173.7032
65486,SHIYAN 29,IGO,25278.12333729,1 65486U 25196A   25278.12333729 -.00000235  00000-0  00000+0 0   830,2 65486  28.5432  21.7482 0024080 182.6684 309.9546  1.00076605   324,28.5432,0.002408,1.00076605,21.7482,182.6684,309.9546
65486,SHIYAN 29,IGO,25278.55220674,1 65486U 25196A   25278.55220674 -.00000233  00000-0  00000+0 0   840,2 65486  28.5438  21.7428 0024104 182.7743 104.3647  1.00076391   325,28.5438,0.0024104,1.00076391,21.7428,182.7743,104.3647
65486,SHIYAN 29,IGO,25278.62726220,1 65486U 25196A   25278.62726220 -.00000233  00000-0  00000+0 0   857,2 65486  28.5439  21.7419 0024110 182.7894 131.3912  1.00076356   326,28.5439,0.002411,1.00076356,21.7419,182.7894,131.3912
65486,SHIYAN 29,IGO,25279.21531800,1 65486U 25196A   25279.21531800 -.00000231  00000-0  00000+0 0   871,2 65486  28.5446  21.7347 0024122 182.9838 343.0652  1.00076092   338,28.5446,0.0024122,1.00076092,21.7347,182.9838,343.0652
65486,SHIYAN 29,IGO,25279.30035957,1 65486U 25196A   25279.30035957 -.00000231  00000-0  00000+0 0   884,2 65486  28.5447  21.7336 0024123 183.0093  13.6789  1.00076052   330,28.5447,0.0024123,1.00076052,21.7336,183.0093,13.6789
65486,SHIYAN 29,IGO,25279.61046255,1 65486U 25196A   25279.61046255 -.00000266  00000-0  00000+0 0   890,2 65486  28.5437  21.7291 0011229 174.9592 133.6886  1.00274414   338,28.5437,0.0011229,1.00274414,21.7291,174.9592,133.6886
