norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
19789,COSMOS 1998,LEO,19001.56928772,1 19789U 89009E   19001.56928772 -.00000002 +00000-0 -70976-4 0 0001,2 19789 082.6120 269.9234 0016970 009.2846 350.8557 12.6485676637968,82.612,0.001697,12.64856766,269.9234,9.2846,350.8557
19789,COSMOS 1998,LEO,19001.80658704,1 19789U 89009E   19001.80658704 -.00000004 +00000-0 -79196-4 0 0001,2 19789 082.6120 269.7720 0016957 008.7530 351.3855 12.6485676137971,82.612,0.0016957,12.64856761,269.772,8.753,351.3855
19789,COSMOS 1998,LEO,19002.83488416,1 19789U 89009E   19002.83488416 +.00000001 +00000-0 -52519-4 0 0001,2 19789 082.6120 269.1158 0016912 006.4397 353.6910 12.6485676637984,82.612,0.0016912,12.64856766,269.1158,6.4397,353.691
19789,COSMOS 1998,LEO,19003.15128331,1 19789U 89009E   19003.15128331  .00000008  00000-0 -15855-4 0  2560,2 19789  82.6120 268.9139 0016902   5.7389 354.3894 12.64856784380067,82.612,0.0016902,12.64856784,268.9139,5.7389,354.3894
19789,COSMOS 1998,LEO,19003.70498181,1 19789U 89009E   19003.70498181 +.00000010 +00000-0 -23330-5 0 0001,2 19789 082.6119 268.5605 0016881 004.5003 355.6239 12.6485677737995,82.6119,0.0016881,12.64856777,268.5605,4.5003,355.6239
19789,COSMOS 1998,LEO,19004.73327896,1 19789U 89009E   19004.73327896 +.00000021 +00000-0 +54450-4 0 0001,2 19789 082.6119 267.9043 0016832 002.1616 357.9547 12.6485678938008,82.6119,0.0016832,12.64856789,267.9043,2.1616,357.9547
19789,COSMOS 1998,LEO,19005.20787764,1 19789U 89009E   19005.20787764  .00000028  00000-0  94855-4 0  2578,2 19789  82.6119 267.6014 0016813   1.0964 359.0163 12.64856822380325,82.6119,0.0016813,12.64856822,267.6014,1.0964,359.0163
19789,COSMOS 1998,LEO,19005.68247633,1 19789U 89009E   19005.68247633 +.00000032 +00000-0 +11308-3 0 0001,2 19789 082.6119 267.2986 0016793 000.0328 000.0763 12.6485684138020,82.6119,0.0016793,12.64856841,267.2986,0.0328,0.0763
19789,COSMOS 1998,LEO,19006.71077340,1 19789U 89009E   19006.71077340 +.00000041 +00000-0 +16454-3 0 0001,2 19789 082.6118 266.6424 0016746 357.6838 002.4175 12.6485689438033,82.6118,0.0016746,12.64856894,266.6424,357.6838,2.4175
19789,COSMOS 1998,LEO,19007.58087095,1 19789U 89009E   19007.58087095  .00000040  00000-0  15631-3 0  2580,2 19789  82.6118 266.0872 0016710 355.6769   4.4176 12.64856894380623,82.6118,0.001671,12.64856894,266.0872,355.6769,4.4176
