norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
26566,COSMOS 2374 (GLONASS),NSO,00287.88520620,1 26566U 0063C    00287.88520620  .00000029  00000-0  00000+0 0    16\,2 26566 064.7981 270.6166 0002662 194.9492 022.3108 02.13105506    03,64.7981,0.0002662,2.13105506,270.6166,194.9492,22.3108
26566,COSMOS 2374 (GLONASS),NSO,00288.07124509,1 26566U 00063C   00288.07124509  .00000030  00000-0  00000+0 0    27\,2 26566 064.8020 270.6142 0001013 168.6929 191.3286 02.13157811    04,64.802,0.0001013,2.13157811,270.6142,168.6929,191.3286
26566,COSMOS 2374 (GLONASS),NSO,00288.54034651,1 26566U 00063C   00288.54034651 +.00000031 +00000-0 +00000-0 0 00030\,2 26566 064.8275 270.6178 0000821 253.7540 106.2535 02.13161111000017,64.8275,8.21e-05,2.13161111,270.6178,253.754,106.2535
26566,COSMOS 2374 (GLONASS),NSO,00289.00941589,1 26566U 00063C   00289.00941589  .00000033  00000-0  00000+0 0    52\,2 26566 064.8239 270.6016 0001515 281.0256 078.9646 02.13164822    28,64.8239,0.0001515,2.13164822,270.6016,281.0256,78.9646
26566,COSMOS 2374 (GLONASS),NSO,00289.00944345,1 26566U 00063C   00289.00944345  .00000033  00000-0  00000+0 0    44\,2 26566 064.8245 270.6032 0001535 286.2511 073.7442 02.13160879    21,64.8245,0.0001535,2.13160879,270.6032,286.2511,73.7442
26566,COSMOS 2374 (GLONASS),NSO,00289.47852889,1 26566U 00063C   00289.47852889 +.00000035 +00000-0 +00000-0 0 00061\,2 26566 064.8355 270.5996 0001642 281.9676 078.0019 02.13162693000039,64.8355,0.0001642,2.13162693,270.5996,281.9676,78.0019
26566,COSMOS 2374 (GLONASS),NSO,00290.41677941,1 26566U 00063C   00290.41677941  .00000040  00000-0  00000+0 0    88\,2 26566 064.8379 270.5834 0002833 235.0348 124.9287 02.13160181    55,64.8379,0.0002833,2.13160181,270.5834,235.0348,124.9287
26566,COSMOS 2374 (GLONASS),NSO,00290.88591434,1 26566U 00063C   00290.88591434 +.00000042 +00000-0 +00000-0 0 00095\,2 26566 064.8375 270.5675 0002895 235.3859 124.5807 02.13160362000068,64.8375,0.0002895,2.13160362,270.5675,235.3859,124.5807
26566,COSMOS 2374 (GLONASS),NSO,00291.35505935,1 26566U 00063C   00291.35505935  .00000045  00000-0  00000+0 0    91\,2 26566 064.8346 270.5471 0002963 234.2532 125.7186 02.13158663    77,64.8346,0.0002963,2.13158663,270.5471,234.2532,125.7186
26566,COSMOS 2374 (GLONASS),NSO,00291.82418828,1 26566U 00063C   00291.82418828 +.00000046 +00000-0 +00000-0 0 00101\,2 26566 064.8336 270.5317 0002977 234.0869 125.8807 02.13158797000081,64.8336,0.0002977,2.13158797,270.5317,234.0869,125.8807
26566,COSMOS 2374 (GLONASS),NSO,00292.76246176,1 26566U 00063C   00292.76246176 +.00000047 +00000-0 +00000-0 0 00145\,2 26566 064.8326 270.4983 0002895 234.7271 125.2420 02.13158586000105,64.8326,0.0002895,2.13158586,270.4983,234.7271,125.242
26566,COSMOS 2374 (GLONASS),NSO,00293.23118785,1 26566U 00063C   00293.23118785  .00000000  00000-0  10000-3 0   123\,2 26566 064.8368 270.4656 0001301 279.2365 080.7524 02.13179575   119,64.8368,0.0001301,2.13179575,270.4656,279.2365,80.7524
26566,COSMOS 2374 (GLONASS),NSO,00293.30844903,1 26566U 00063C   00293.30844903  .00000046  00000-0  00000+0 0   102\,2 26566 064.8296 270.4771 0003037 234.6471 184.3030 02.13159512   110,64.8296,0.0003037,2.13159512,270.4771,234.6471,184.303
26566,COSMOS 2374 (GLONASS),NSO,00293.35567086,1 26566U 00063C   00293.35567086  .00000046  00000-0  00000+0 0   112\,2 26566 064.8297 270.4766 0002999 231.5848 223.6070 02.13161128   112,64.8297,0.0002999,2.13161128,270.4766,231.5848,223.607
26566,COSMOS 2374 (GLONASS),NSO,00293.43826726,1 26566U 00063C   00293.43826726  .00000046  00000-0  00000+0 0   132\,2 26566 064.8300 270.4744 0002985 232.7866 285.7861 02.13160724   119,64.83,0.0002985,2.13160724,270.4744,232.7866,285.7861
26566,COSMOS 2374 (GLONASS),NSO,00293.70027596,1 26566U 00063C   00293.70027596 +.00000045 +00000-0 +00000-0 0 00152\,2 26566 064.8319 270.4678 0003012 233.3565 126.2694 02.13159321000114,64.8319,0.0003012,2.13159321,270.4678,233.3565,126.2694
26566,COSMOS 2374 (GLONASS),NSO,00294.16936850,1 26566U 00063C   00294.16936850  .00000042  00000-0  00000+0 0   140\,2 26566 064.8318 270.4511 0003097 232.3359 127.2672 02.13161053   125,64.8318,0.0003097,2.13161053,270.4511,232.3359,127.2672
26566,COSMOS 2374 (GLONASS),NSO,00294.16984747,1 26566U 00063C   00294.16984747 +.00000042 +00000-0 +00000-0 0 00172\,2 26566 064.8320 270.4518 0003054 232.3753 127.5905 02.13159599000131,64.832,0.0003054,2.13159599,270.4518,232.3753,127.5905
26566,COSMOS 2374 (GLONASS),NSO,00294.63898747,1 26566U 00063C   00294.63898747  .00000038  00000-0  00000+0 0   150\,2 26566 064.8318 270.4362 0003060 233.0665 126.9038 02.13159608   144,64.8318,0.000306,2.13159608,270.4362,233.0665,126.9038
26566,COSMOS 2374 (GLONASS),NSO,00295.31565306,1 26566U 00063C   00295.31565306  .00000031  00000-0  00000+0 0   162\,2 26566 064.8324 270.4146 0003137 232.3969 286.8341 02.13160497   157,64.8324,0.0003137,2.13160497,270.4146,232.3969,286.8341
26566,COSMOS 2374 (GLONASS),NSO,00295.57902578,1 26566U 00063C   00295.57902578 +.00000027 +00000-0 +00000-0 0 00229\,2 26566 064.8301 270.4126 0002947 231.0345 130.3032 02.13161002000166,64.8301,0.0002947,2.13161002,270.4126,231.0345,130.3032
26566,COSMOS 2374 (GLONASS),NSO,00296.51549315,1 26566U 00063C   00296.51549315 +.00000014 +00000-0 +00000-0 0 00181\,2 26566 064.8318 270.3738 0003107 232.1634 127.8023 02.13160989000180,64.8318,0.0003107,2.13160989,270.3738,232.1634,127.8023
26566,COSMOS 2374 (GLONASS),NSO,00296.98462054,1 26566U 00063C   00296.98462054  .00000007  00000-0  00000+0 0   187\,2 26566 064.8353 270.3572 0003182 231.8857 128.0816 02.13161532   190,64.8353,0.0003182,2.13161532,270.3572,231.8857,128.0816
