norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
837,OPS 3674 (VELA 4),HAO,17161.07310858,1   837U 64040B   17161.07310858 +.00000008 +00000-0 +00000-0 0 0009\,2   837 034.9854 277.5321 8345444 230.9438 359.3959 00.2407185104638,34.9854,0.8345444,0.24071851,277.5321,230.9438,359.3959
837,OPS 3674 (VELA 4),HAO,17215.03688706,1   837U 64040B   17215.03688706 -.00000943 +00000-0 +00000-0 0 0011,2   837 033.0826 272.2111 7980820 237.8610 359.0133 00.2430680804651,33.0826,0.798082,0.24306808,272.2111,237.861,359.0133
837,OPS 3674 (VELA 4),HAO,20065.94999080,1   837U 64040B   20065.94999080 -.00000044  00000-0  00000+0 0   149\,2   837  38.7268 167.5201 5799945 315.6664   0.2599  0.23982064 48815,38.7268,0.5799945,0.23982064,167.5201,315.6664,0.2599
837,OPS 3674 (VELA 4),HAO,20074.28571798,1   837U 64040B   20074.28571798 -.00000181  00000-0  00000+0 0   151\,2   837  38.8173 167.2665 5762690 315.8166   0.4094  0.24001047 48836,38.8173,0.576269,0.24001047,167.2665,315.8166,0.4094
837,OPS 3674 (VELA 4),HAO,20078.45681480,1   837U 64040B   20078.45681480 -.00000231  00000-0  00000+0 0   161\,2   837  38.8652 167.1199 5742057 315.8386   0.9117  0.24000650 48849,38.8652,0.5742057,0.2400065,167.1199,315.8386,0.9117
837,OPS 3674 (VELA 4),HAO,20215.91075636,1   837U 64040B   20215.91075636 -.00000314  00000-0  00000+0 0   178\,2   837  40.6134 163.0439 5214297 316.3058 359.8281  0.24000800 49171,40.6134,0.5214297,0.240008,163.0439,316.3058,359.8281
837,OPS 3674 (VELA 4),HAO,20232.57816968,1   837U 64040B   20232.57816968 -.00000022  00000-0  00000+0 0   198\,2   837  40.8210 162.5990 5158589 316.2745   0.2718  0.23986650 49219,40.821,0.5158589,0.2398665,162.599,316.2745,0.2718
837,OPS 3674 (VELA 4),HAO,20232.57817677,1   837U 64040B   20232.57817677 -.00000022  00000-0  00000+0 0   185\,2   837  40.8224 162.5994 5158610 316.2749   0.2722  0.23986693 49219,40.8224,0.515861,0.23986693,162.5994,316.2749,0.2722
837,OPS 3674 (VELA 4),HAO,20257.57695518,1   837U 64040B   20257.57695518  .00000080  00000-0  00000+0 0   206\,2   837  41.0774 161.9638 5064474 316.1742   0.7837  0.23984903 49276,41.0774,0.5064474,0.23984903,161.9638,316.1742,0.7837
837,OPS 3674 (VELA 4),HAO,20274.23713226,1   837U 64040B   20274.23713226  .00000135  00000-0  00000+0 0   217\,2   837  41.2301 161.5722 4994088 316.0647   0.7002  0.24001754 49313,41.2301,0.4994088,0.24001754,161.5722,316.0647,0.7002
837,OPS 3674 (VELA 4),HAO,20286.73725510,1   837U 64040B   20286.73725510 +.00000457 +00000-0 +00000-0 0 0026\,2   837 041.3612 161.2444 4957652 316.0725 000.9131 00.2398714604934,41.3612,0.4957652,0.23987146,161.2444,316.0725,0.9131
837,OPS 3674 (VELA 4),HAO,20299.22933844,1   837U 64040B   20299.22933844  .00000331  00000-0  00000+0 0   277\,2   837  41.4685 160.9441 4901672 315.9728   0.5893  0.24000878 49374,41.4685,0.4901672,0.24000878,160.9441,315.9728,0.5893
837,OPS 3674 (VELA 4),HAO,20345.03828427,1 00837U 64040B   20345.03828427  .00000626  00000-0  00000-0 0    18\,2 00837  41.9373 159.8130 4745305 315.7668 359.5095  0.23994214 49898,41.9373,0.4745305,0.23994214,159.813,315.7668,359.5095
837,OPS 3674 (VELA 4),HAO,20345.03830703,1 00837U 64040B   20345.03830703  .00000626  00000-0  00000-0 0    18\,2 00837  41.9378 159.8135 4745445 315.7671 359.5095  0.23994204 49896,41.9378,0.4745445,0.23994204,159.8135,315.7671,359.5095
837,OPS 3674 (VELA 4),HAO,20349.20917244,1   837U 64040B   20349.20917244 +.00000329 +00000-0 +00000-0 0 0001\,2   837 041.9718 159.7004 4726414 315.7352 359.9805 00.2399911004990,41.9718,0.4726414,0.2399911,159.7004,315.7352,359.9805
837,OPS 3674 (VELA 4),HAO,20349.20984722,1 00837U 64040B   20349.20984722  .00000329  00000-0  00000-0 0    12\,2 00837  41.9730 159.7000 4726413 315.7350   0.0393  0.23999120 49897,41.973,0.4726413,0.2399912,159.7,315.735,0.0393
837,OPS 3674 (VELA 4),HAO,20357.53073441,1   837U 64040B   20357.53073441  .00000364  00000-0  00000+0 0   304\,2   837  42.0773 159.5072 4694394 315.5572 359.3891  0.24002597 49515,42.0773,0.4694394,0.24002597,159.5072,315.5572,359.3891
837,OPS 3674 (VELA 4),HAO,20365.86098670,1 00837U 64040B   20365.86098670  .00000357  00000-0  00000-0 0    11\,2 00837  42.1584 159.2887 4672899 315.5450 359.2768  0.23985947 49945,42.1584,0.4672899,0.23985947,159.2887,315.545,359.2768
837,OPS 3674 (VELA 4),HAO,21020.68820839,1 00837U 64040B   21020.68820839  .00000067  00000-0  00000-0 0    18\,2 00837  42.3655 158.8251 4588936 315.3006 359.3189  0.24001031 49996,42.3655,0.4588936,0.24001031,158.8251,315.3006,359.3189
837,OPS 3674 (VELA 4),HAO,21029.02100507,1 00837U 64040B   21029.02100507  .00000102  00000-0  00000-0 0    18\,2 00837  42.4366 158.6252 4566945 315.3291 359.3609  0.23987050 50012,42.4366,0.4566945,0.2398705,158.6252,315.3291,359.3609
837,OPS 3674 (VELA 4),HAO,21033.19323265,1 00837U 64040B   21033.19323265  .00000125  00000-0  00000-0 0    14\,2 00837  42.4635 158.5501 4549347 315.3288 359.8573  0.23993498 50029,42.4635,0.4549347,0.23993498,158.5501,315.3288,359.8573
837,OPS 3674 (VELA 4),HAO,21079.02198430,1   837U 64040B   21079.02198430  .00000149  00000-0  00000+0 0   352\,2   837  42.8360 157.5574 4391918 314.5921   0.9967  0.23991822 49726,42.836,0.4391918,0.23991822,157.5574,314.5921,0.9967
837,OPS 3674 (VELA 4),HAO,21087.35215940,1 00837U 64040B   21087.35215940  .00000369  00000-0  00000-0 0    11\,2 00837  42.8927 157.3895 4365920 314.6078   0.7969  0.23994383 50140,42.8927,0.436592,0.23994383,157.3895,314.6078,0.7969
837,OPS 3674 (VELA 4),HAO,21145.65272702,1 00837U 64040B   21145.65272702  .00000530  00000-0  00000-0 0    18\,2 00837  43.3482 156.1667 4182167 313.6518 359.9414  0.24000097 50295,43.3482,0.4182167,0.24000097,156.1667,313.6518,359.9414
837,OPS 3674 (VELA 4),HAO,21153.97415528,1 00837U 64040B   21153.97415528  .00000411  00000-0  00000-0 0    15\,2 00837  43.4192 156.0076 4153296 313.3844 359.3833  0.23999886 50311,43.4192,0.4153296,0.23999886,156.0076,313.3844,359.3833
837,OPS 3674 (VELA 4),HAO,21158.13807535,1 00837U 64040B   21158.13807535  .00000426  00000-0  00000-0 0    17\,2 00837  43.4588 155.9162 4142295 313.2684 359.3162  0.23997058 50327,43.4588,0.4142295,0.23997058,155.9162,313.2684,359.3162
837,OPS 3674 (VELA 4),HAO,21166.47058114,1 00837U 64040B   21166.47058114  .00000506  00000-0  00000-0 0    13\,2 00837  43.5210 155.7438 4123537 313.2692 359.3466  0.23990118 50339,43.521,0.4123537,0.23990118,155.7438,313.2692,359.3466
837,OPS 3674 (VELA 4),HAO,21186.39751523,1 00837U 64040B   21186.39751523  .00000196  00000-0  00000-0 0    15\,2 00837  43.6712 155.3559 4058411 312.7167 281.9551  0.23992630 50398,43.6712,0.4058411,0.2399263,155.3559,312.7167,281.9551
