norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
36395,SDO,IGO,10042.70962675,1 36395U 10005A   10042.70962675 -.00000082  00000-0  10000-3 0    21\,2 36395 028.5650 192.8840 6498966 039.9192 353.0539 02.15694442999997,28.565,0.6498966,2.15694442,192.884,39.9192,353.0539
36395,SDO,IGO,10042.70962981,1 36395U 10005A   10042.70962981 -.00000082  00000-0  10000-3 0    10\,2 36395 028.5656 192.8943 6499201 039.9086 353.0567 02.15694442999993,28.5656,0.6499201,2.15694442,192.8943,39.9086,353.0567
36395,SDO,IGO,10042.82539329,1 36395U 10005A   10042.82539329  .00000019  00000-0  00000+0 0    13\,2 36395 028.5456 192.8975 6494647 039.9188 083.1114 02.16128434    06,28.5456,0.6494647,2.16128434,192.8975,39.9188,83.1114
36395,SDO,IGO,10043.67783734,1 36395U 10005A   10043.67783734 +.00000013 +00000-0 +00000-0 0 00080\,2 36395 028.5461 192.7151 6494857 040.2125 026.4496 02.16152393000022,28.5461,0.6494857,2.16152393,192.7151,40.2125,26.4496
36395,SDO,IGO,10044.63398566,1 36395U 10005A   10044.63398566 +.00000009 +00000-0 +00000-0 0 00166\,2 36395 028.5419 192.5067 6495234 040.5442 050.4755 02.16152140000041,28.5419,0.6495234,2.1615214,192.5067,40.5442,50.4755
36395,SDO,IGO,10045.99154757,1 36395U 10005A   10045.99154757 +.00000012 +00000-0 +00000-0 0 00139\,2 36395 028.5393 192.2123 6495681 041.0161 026.8622 02.16152242000078,28.5393,0.6495681,2.16152242,192.2123,41.0161,26.8622
36395,SDO,IGO,10046.23577323,1 36395U 10005A   10046.23577323  .00000014  00000-0  00000+0 0    57\,2 36395 028.5384 192.1592 6495755 041.1031 216.9062 02.16152215    76,28.5384,0.6495755,2.16152215,192.1592,41.1031,216.9062
36395,SDO,IGO,10046.92246450,1 36395U 10005A   10046.92246450 +.00000019 +00000-0 +00000-0 0 00154\,2 36395 028.5356 192.0073 6495956 041.3428 031.2568 02.16152369000094,28.5356,0.6495956,2.16152369,192.0073,41.3428,31.2568
36395,SDO,IGO,10047.78566493,1 36395U 10005A   10047.78566493 +.00000028 +00000-0 +00000-0 0 00061\,2 36395 028.5392 191.8375 6455298 041.6006 341.0578 02.15372266000100,28.5392,0.6455298,2.15372266,191.8375,41.6006,341.0578
36395,SDO,IGO,10048.74994277,1 36395U 10005A   10048.74994277 +.00000039 +00000-0 +00000-0 0 00098\,2 36395 028.5350 191.6369 6457550 041.9373 008.6253 02.15357070000133,28.535,0.645755,2.1535707,191.6369,41.9373,8.6253
36395,SDO,IGO,10050.80000000,1 36395U 10005A   10050.80000000 -.00000141  00000-0  00000+0 0    94\,2 36395 028.4350 191.0920 5682709 042.6360 058.9230 02.00280039   179,28.435,0.5682709,2.00280039,191.092,42.636,58.923
36395,SDO,IGO,10050.97390050,1 36395U 10005A   10050.97390050  .00000041  00000-0  00000+0 0   109\,2 36395 028.4120 190.8390 4812196 042.7470 181.6090 01.83993110   178,28.412,0.4812196,1.8399311,190.839,42.747,181.609
36395,SDO,IGO,10053.20833300,1 36395U 10005A   10053.20833300  .00000087  00000-0  00000+0 0   119\,2 36395 028.3860 190.7500 5243471 043.1490 346.0510 01.91897703   222,28.386,0.5243471,1.91897703,190.75,43.149,346.051
36395,SDO,IGO,10053.73180391,1 36395U 10005A   10053.73180391  .00000097  00000-0  00000+0 0   124\,2 36395 028.4062 190.6934 5242139 043.1810 347.6223 01.91861500   238,28.4062,0.5242139,1.918615,190.6934,43.181,347.6223
36395,SDO,IGO,10054.77413411,1 36395U 10005A   10054.77413411  .00000099  00000-0  00000+0 0   134\,2 36395 028.3919 190.5951 5243865 043.3858 347.5568 01.91861001   256,28.3919,0.5243865,1.91861001,190.5951,43.3858,347.5568
36395,SDO,IGO,10056.33761657,1 36395U 10005A   10056.33761657  .00000006  00000-0  00000+0 0   167\,2 36395 028.3457 190.3649 4784043 043.7334 307.2705 01.83187485   282,28.3457,0.4784043,1.83187485,190.3649,43.7334,307.2705
36395,SDO,IGO,10056.39546397,1 36395U 10005A   10056.39546397  .00000000  00000-0  10000-3 0   153\,2 36395 028.3530 190.3198 4784310 043.7697 345.4220 01.83183507   289,28.353,0.478431,1.83183507,190.3198,43.7697,345.422
36395,SDO,IGO,10056.39547124,1 36395U 10005A   10056.39547124  .00000000  00000-0  10000-3 0   141\,2 36395 028.3535 190.3562 4784496 043.7526 345.4292 01.83187708   281,28.3535,0.4784496,1.83187708,190.3562,43.7526,345.4292
36395,SDO,IGO,10056.94130369,1 36395U 10005A   10056.94130369 -.00000003  00000-0  00000+0 0   173\,2 36395 028.3445 190.3137 4784185 043.8102 345.3802 01.83182705   294,28.3445,0.4784185,1.83182705,190.3137,43.8102,345.3802
36395,SDO,IGO,10057.90000000,1 36395U 10005A   10057.90000000 -.00000016  00000-0  00000+0 0   183\,2 36395 028.2750 190.0680 4283461 044.0820 253.6350 01.73895693   300,28.275,0.4283461,1.73895693,190.068,44.082,253.635
36395,SDO,IGO,10058.23621575,1 36395U 10005A   10058.23621575 -.00000018  00000-0  00000+0 0   199\,2 36395 028.3022 190.1552 4283786 044.0660 104.1809 01.73919883   312,28.3022,0.4283786,1.73919883,190.1552,44.066,104.1809
36395,SDO,IGO,10058.68381818,1 36395U 10005A   10058.68381818 -.00000021  00000-0  00000+0 0   207\,2 36395 028.3043 190.1397 4286454 044.0606 024.4806 01.73944541   328,28.3043,0.4286454,1.73944541,190.1397,44.0606,24.4806
