norad_id,name,regime,epoch,line1,line2,inclination,eccentricity,mean_motion,raan,arg_pericenter,mean_anomaly
19751,COSMOS 1989 (ETALON 1),NSO,00001.85582722,1 19751U 89001C   00001.85582722 -.00000046 +00000-0 +00000-0 0 05291\,2 19751 065.8033 041.7867 0012777 238.5205 121.4206 02.13155465085463,65.8033,0.0012777,2.13155465,41.7867,238.5205,121.4206
19751,COSMOS 1989 (ETALON 1),NSO,00002.32497351,1 19751U 89001C   00002.32497351 -.00000043  00000-0  00000+0 0  5068\,2 19751 065.8038 041.7711 0012797 238.9442 120.9977 02.13155541 85470,65.8038,0.0012797,2.13155541,41.7711,238.9442,120.9977
19751,COSMOS 1989 (ETALON 1),NSO,00002.79411969,1 19751U 89001C   00002.79411969 -.00000040 +00000-0 +00000-0 0 05080\,2 19751 065.8040 041.7553 0012799 238.9298 121.0134 02.13155544085489,65.804,0.0012799,2.13155544,41.7553,238.9298,121.0134
19751,COSMOS 1989 (ETALON 1),NSO,00004.20155718,1 19751U 89001C   00004.20155718 -.00000032 +00000-0 +00000-0 0 05244\,2 19751 065.8048 041.7083 0012817 238.7926 121.1535 02.13155553085512,65.8048,0.0012817,2.13155553,41.7083,238.7926,121.1535
19751,COSMOS 1989 (ETALON 1),NSO,00005.13984733,1 19751U 89001C   00005.13984733 -.00000028 +00000-0 +00000-0 0 05328\,2 19751 065.8053 041.6770 0012807 238.8153 121.1322 02.13155581085539,65.8053,0.0012807,2.13155581,41.677,238.8153,121.1322
19751,COSMOS 1989 (ETALON 1),NSO,00006.07813621,1 19751U 89001C   00006.07813621 -.00000026 +00000-0 +00000-0 0 05439\,2 19751 065.8064 041.6460 0012796 238.7972 121.1505 02.13155602085551,65.8064,0.0012796,2.13155602,41.646,238.7972,121.1505
19751,COSMOS 1989 (ETALON 1),NSO,00007.01642390,1 19751U 89001C   00007.01642390 -.00000024 +00000-0 +00000-0 0 05075\,2 19751 065.8068 041.6146 0012781 238.8437 121.1036 02.13155622085570,65.8068,0.0012781,2.13155622,41.6146,238.8437,121.1036
19751,COSMOS 1989 (ETALON 1),NSO,00007.95470667,1 19751U 89001C   00007.95470667 -.00000023 +00000-0 +00000-0 0 05130\,2 19751 065.8062 041.5825 0012806 238.3075 121.6387 02.13155765085592,65.8062,0.0012806,2.13155765,41.5825,238.3075,121.6387
19751,COSMOS 1989 (ETALON 1),NSO,00008.42384913,1 19751U 89001C   00008.42384913 -.00000023 +00000-0 +00000-0 0 05197\,2 19751 065.8068 041.5670 0012820 238.4740 121.4704 02.13155766085606,65.8068,0.001282,2.13155766,41.567,238.474,121.4704
19751,COSMOS 1989 (ETALON 1),NSO,00009.83127796,1 19751U 89001C   00009.83127796 -.00000022 +00000-0 +00000-0 0 05219\,2 19751 065.8071 041.5196 0012826 238.3022 121.6403 02.13155790085639,65.8071,0.0012826,2.1315579,41.5196,238.3022,121.6403
